Q_ID,Q_RAD,Questions Text,Question Print,Question Type,,,,,,,,,,,,,,,,,,,,,,,
Q0063,,"This patient is in the age-band for chlamydia screening. With lower UTI symptoms, this sample should be tested for chlamydia as well as bacteria. Please seek patient consent . Consent sought ?",Consent sought ?.,Yes/No,,,,,,,,,,,,,,,,,,,,,,,
Q0064,,Patient consent obtained ?,Consent obtained ?.,Yes/No,,,,,,,,,,,,,,,,,,,,,,,
Q0065,,Indication Code and Explanation,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0066,,"P9 - Immune Thrombocytopenia - Post transfusion Purpura, in the presence of major haemorrhage",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0067,,F3 - Acute DIC in the presence of bleeding and abnormal coagulation results,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0068,,F4 - Thrombotic Thrombocytopenic Purpura -TTP - usually in conjunction with plasma exchange,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0069,,"C5 - Abnormal bleeding in Renal  / Liver Failure, where DDAVP is contraindicated or ineffective",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0070,,"Please contact Duty Biochemist (RSH ext 3558 /  PRH ext 4314) before starting patient on high dose methotrexate, so that transport can be organised and Birmingham lab contacted.",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0071,,This test is normally only available to SATH Lipid Clinics,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0072,,A CROSSMATCH  INCLUDES A GROUP & SCREEN Ð DO NOT REQUEST A GROUP & SCREEN WITH THIS REQUEST - THANK YOU.,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0073,,What is the mothers Date of Birth?,Mothers DOB,Date,,,,,,,,,,,,,,,,,,,,,,,
Q0074,,What is the mothers forename?,Mothers forename,Text,,,,,,,,,,,,,,,,,,,,,,,
Q0075,,What is the mothers Surname?,Mothers Surname,Text,,,,,,,,,,,,,,,,,,,,,,,
Q0076,,Is this specimen from the mother or the father?,Who from?,List,,,,,,,,,,,,,,,,,,,,,,,
Q0077,,"Click ""Save"" below to continue with this request.",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0078,,How many Platelet Adult doses are required?, Number of Platelets required,Numeric,,,,,,,,,,,,,,,,,,,,,,,
Q0079,,"Please do NOT use this for Diabetic ulcers, choose ""Swab"" instead, to ensure we look for Gram Negative organisms.",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0080,,Please state if Ante/Post Natal and No. of weeks,"A/N or P/N, Weeks",Text,,,,,,,,,,,,,,,,,,,,,,,
Q0081,,Has HIV testing been DECLINED by the patient?,Is HIV testing declined?......,Yes/No,,,,,,,,,,,,,,,,,,,,,,,
Q0082,,andy - is this booking blood?,booking blood?,Yes/No,,,,,,,,,,,,,,,,,,,,,,,
Q0083,,How many bottles of Human Albumin Solution are required?,Number of bottles,Numeric,,,,,,,,,,,,,,,,,,,,,,,
Q0084,,What type of Human Albumin Solution is required?,Type of HAS,List,,,,,,,,,,,,,,,,,,,,,,,
Q0085,,What is the reason you require albumin? (Please type short explanation),Reason for request,Text,,,,,,,,,,,,,,,,,,,,,,,
Q0086,,Vitamin D is normally only available for consultant use - Please provide full reason for request.,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0087,,Please remember to complete the Family Origin questionnaire and send it to the laboratory with the sample.,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0088,,Please send a Yellow Top Blood (Clotted with gel) together with the CSF specimen for Oligoclonal bands,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0089,,"Unfortunately NO LABEL will be printed for this, so you will need to write the patient details on the tube.",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0090,,NOTE:  Kleihauer-Betke requesting using this electronic requesting method is only to be used for ANTENATAL requests (and follow-up Kleihauers requested by the Blood Bank).,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0091,,Post delivery requests must be made on the manual Cord Blood request form as both mother and baby details are required.,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0092,,Please enter the name of the doctor who has asked for this request PLEASE DO NOT ABBREVIATE,Originator,Text,,,,,,,,,,,,,,,,,,,,,,,
Q0093,,How many units do you require?, Number of units required,Numeric,,,,,,,,,,,,,,,,,,,,,,,
Q0094,,R8 - Preop - Surgical Cover,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0095,,R9 - 'Other' - reason not one of those above - STATE REASON IN CLINICAL DETAILS,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0096,,"Will you enclose a fully completed Family Origin Questionnaire, as per national guidelines?",FOQ enclosed?,Yes/No,,,,,,,,,,,,,,,,,,,,,,,
Q0097,,Adult dose requirement for FFP is calculated using patient weight - 12ml per kg (15ml per kg in massive haemorrhage),,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0098,,Cryo - dose is 2 packs. Cryoprecipitate should be used in combination with FFP unless there is an isolated deficiency of fibrinogen.,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0099,,"F1 - Replacement of single coagulation factor deficiencies, where specific concentrate is unavailable - e.g. Factor V",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0100,,F2 - Warfarin Reversal - life threatening - when Prothrombin Complex Concentrate (Octaplex) is unavailable,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0101,,Cold Agglutinin screen will require a WARM EDTA specimen to be sent to the Blood Transfusion laboratory as soon as it has been taken.  Please liase with the lab when asking for this test.,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0102,,This test is normally only available to Consultant Rheumatologists,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0103,,"Select ""Save"" if you wish to proceed with this request, but please enter relevant clinical details",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0104,,This test is normally only available to Consultant GastroEnterologists,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0105,,Please note that this test is no longer available from SATH Pathology,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0106,,P1 - Bone Marrow Failure - Plt count <10 - to prevent spontaneous bleeding.,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0107,,C1 - Acute DIC in the presence of bleeding and Fibrinogen is <1.0g/l,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0108,,C2 - Advanced Liver Disease - to correct bleeding (or Pre-op) and Fibrinogen is <1.0g/l,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0109,,"C6 - Inherited Hypofibrinogenaemia, where Fibrinogen concentrate is not available.",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0110,,Please provide the name of the person authorised to make this request,Authoriser,Text,,,,,,,,,,,,,,,,,,,,,,,
Q0111,,To what GP Surgery is the patient registered to? (PLEASE ENTER 'G' CODE IF KNOWN),Location...,Text,,,,,,,,,,,,,,,,,,,,,,,
Q0112,,Is this the BOOKING blood specimen for this pregnancy?,Booking?..,Yes/No,,,,,,,,,,,,,,,,,,,,,,,
Q0113,,Please enter a location for an EXTRA 'copy report' if required..,Copy to....,Text,,,,,,,,,,,,,,,,,,,,,,,
Q0114,,Who is the patients registered GP?,GP...........,Text,,,,,,,,,,,,,,,,,,,,,,,
Q0115,,Has prophylactic Anti-D injection been administered to this patient within the last 3 months?,PAD?.......,List,,,,,,,,,,,,,,,,,,,,,,,
Q0116,,"Date of prophylactic Anti-D injection, if given. (Approximate if not certain).",PAD date.,Date,,,,,,,,,,,,,,,,,,,,,,,
Q0117,,Please enter an Expected Date of Delivery (approximate if unknown),EDD.........,Date,,,,,,,,,,,,,,,,,,,,,,,
Q0118,,Please give Estimated Date of Delivery,EDD,Date,,,,,,,,,,,,,,,,,,,,,,,
Q0119,,"You are choosing the option that EXCLUDES HIV testing. We will test for Syphilis, Hepatitis B and Rubella only. Please use the other Ante-Natal screening option if you want to include HIV testing.",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0120,,Paediatric dose requirement for Solvent/Detergent treated FFP is calculated using patient weight - 10ml per kg.,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0121,,"Please note we will test for Syphilis, Hepatitis B, Rubella AND HIV. If consent for HIV is denied, use the other Antenatal screening option that does NOT inc. HIV",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0122,,Reason for this request:,Reason.....,List,,,,,,,,,,,,,,,,,,,,,,,
Q0123,,"This is a BOOKING blood request, please remember to fully complete a Sickle Cell and Thalassaemia Screening Family Origin Questionnaire? Enclose this with the Haematology FBC specimen.",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0124,,Has consent for HIV testing be obtained?,consent for HIV obtained?,Yes/No,,,,,,,,,,,,,,,,,,,,,,,
Q0125,,***ANTENATAL BLOOD GROUP and ANTIBODY SCREEN ***,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0126,,***ANTENATAL MICROBIOLOGY SCREENING***,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0127,,***ANTENATAL HAEMOGLOBINOPATHY SCREENING***,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0128,,***URINE CULTURE***,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0129,,### Please do NOT ask for a Group and Antibody Screen if you are also asking for a Crossmatch. There is no point. ###,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0130,,**CAUTION** From 01/08/2011 Troponin I will be reported in ng/L.  This means that results will be 1000 x higher!,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0131,,Please provide 1mL minimum sample volume for reliable Blood Gas analysis.,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0132,,Please enter time post onset of symptoms in hours? (>12h advised),,Text,,,,,,,,,,,,,,,,,,,,,,,
Q0133,,Please provide 2mLs (40 drops) of CSF for Xanthochromia and protect sample from light.,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0134,,Specimens for Cryoglobulin investigation must be collected at the Laboratory and stored at 37'C,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0135,,Please select  tests required/suspected conditions,Tests / Conditions:-,Multiple selection,,,,,,,,,,,,,,,,,,,,,,,
Q0136,,If reason for testing is not diagnostic please give full family history in Clinical Details,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0137,,"From 19th September 2011 PTH will be measured in plasma, using tubes with white top and yellow ring.",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0138,,"Please request a Calcium estimation, using a yellow top tube, at the same time as  Plasma PTH request.",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0139,,"The new plasma PTH results will be approx. 15-20 % higher than previously, ref range 1.5-7.6pmol/L",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0140,,This orderable is ONLY available to FERTILITY CLINICS,Fertility clinics ONLY,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0141,,For unknown drug screen other than SUDI please collect green top (lithium heparin) without gel as well as red top sample tube.,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0142,,Please refer to laminated leaflet in SUDI box for Skin Biopsy technique,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0143,,Please note that the SATH laboratories will be measuring total metanephrines rather than catecholamines in urine from October 2011.,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0144,,Please provide Date of booking,Booking date,Date,,,,,,,,,,,,,,,,,,,,,,,
Q0145,,Please give ethnic origin of patient,Ethnicity,List,,,,,,,,,,,,,,,,,,,,,,,
Q0146,,Please provide ultrasound scan date,U/S scan date,Date,,,,,,,,,,,,,,,,,,,,,,,
Q0147,,Please provide Maternal History,Maternal History,Multiple selection,,,,,,,,,,,,,,,,,,,,,,,
Q0148,,Please provide sonographer FMF code,FMF code,Numeric,,,,,,,,,,,,,,,,,,,,,,,
Q0149,,Please provide HC measurement,HC,Numeric,,,,,,,,,,,,,,,,,,,,,,,
Q0150,,Please provide CRL measurement,CRL,Numeric,,,,,,,,,,,,,,,,,,,,,,,
Q0151,,Please provide maternal weight in kg. at time of sampling,Maternal weight kg.,Numeric,,,,,,,,,,,,,,,,,,,,,,,
Q0152,,Please provide NT measurement,NT,Numeric,,,,,,,,,,,,,,,,,,,,,,,
Q0153,,Please provide Date of egg transfer,Date of egg transfer,Date,,,,,,,,,,,,,,,,,,,,,,,
Q0154,,Please provide smoking history,Smoking history,List,,,,,,,,,,,,,,,,,,,,,,,
Q0155,,Please provide age of donor in years at time of harvest,Age of donor,Numeric,,,,,,,,,,,,,,,,,,,,,,,
Q0156,,Please provide date of egg harvest,Date of egg harvest,Date,,,,,,,,,,,,,,,,,,,,,,,
Q0157,,Please note we will only examine for Cryptococcus IF specifically requested so to do.,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0158,,Viral PCR's will be performed at the discretion of the consultant microbiologist.,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0159,,"Serum will be held. Please repeat test at 3 months after exposure, if this is the first sample.",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0160,,"FOR GASTRIN - Patient should be off omeprazole (Losec) for 2 weeks and preferably off H2 antagonists (cimetidine, ranitidine) for 72 hrs. (The latter is optional but, if raised, gastrin levels will have to be repeated, this time off H2 antagonists)",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0161,,Patients must be FASTING and have medication reviewed. 2 x EDTA tubes MUST BE TAKEN ON ICE-  use chilled gel packs. Give details of all  medication  (renal function may also be useful),,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0162,,Following guidance from the National Institute for Health and Clinical Excellence (NICE) the analytical service for phaeochromocytoma was withdrawn from primary care in August 2008. See INFORMATION,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0163,,"Diet and drug restrictions required - For full instruction sheet select orderable and click on ""Information"" radio button.",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0164,,"If the source is known high risk for HIV, discuss with on-call microbiologist.",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0165,,Start rapid course of Hepatitis B vaccine.,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0166,,Give booster dose of Hepatitis B vaccine.,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0167,,If source known arrange sample to be tested.,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0168,,"If known non-responder (to Hepatitis B vaccine), please contact on-call microbiologist.",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0169,,Refer to OHD.,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0170,,"Please use plain ""White Top""  universal containers for urinary antigens NOT ""Red Top"" borate containers.",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0171,,Solvent/Detergent treated FFP (Octaplas) is mandatory for paediatric patients.,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0172,,"Special Blood Requirements - Does this patient need CMV Negative, Irradiated or washed products?",Special Requirements,List,,,,,,,,,,,,,,,,,,,,,,,
Q0173,,Click button below to add date and time this is required.,Date required,DateTime,,,,,,,,,,,,,,,,,,,,,,,
Q0174,,How many IUs of the coagulation factor do you require? (multiples of 500IU please),Number of IUs needed,Numeric,,,,,,,,,,,,,,,,,,,,,,,
Q0175,,Please telephone the Blood Transfusion Laboratory to inform us you require this. (RSH ext 3542. PRH ext 4305),,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0176,,"R1 - ACUTE BLOOD LOSS - Please inform the Blood Bank. (Tel. RSH 3542, out of hours bleep 512 or PRH 4305)",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0177,,Patient demographics for the PREGNANT PARTNER of this patient need to be supplied below.,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0178,,Pregnant partner Address:,Address:,Text,,,,,,,,,,,,,,,,,,,,,,,
Q0179,,Pregnant partner Unit Number:,Pregnant partner Unit Number:,Text,,,,,,,,,,,,,,,,,,,,,,,
Q0180,,Pregnant partner Date of Birth:,Date of Birth:,Date,,,,,,,,,,,,,,,,,,,,,,,
Q0181,,Pregnant partner First Name:,First Name:,Text,,,,,,,,,,,,,,,,,,,,,,,
Q0182,,Pregnant partner Last Name:,Last Name:,Text,,,,,,,,,,,,,,,,,,,,,,,
Q0183,,"Please ensure you add the correct volume of blood to blood culture bottles. (8-10 mls. for blue and gold top bottles, 1-3 mls. in pink caps).",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0184,,* DO NOT SEND BLOOD CULTURE BOTTLES VIA THE POD SYSTEM *,DO NOT POD BLOOD CULTURES,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0185,,Please record patient's mobile Tel. No. - This implies patient's consent to pass contact details to Chlamydia Office for follow up IF positive.,Mobile Tel. No. (As consent),Numeric,,,,,,,,,,,,,,,,,,,,,,,
Q0186,,Has patient consent been obtained to share contact details ?,Consent to share details ?,Yes/No,,,,,,,,,,,,,,,,,,,,,,,
Q0187,,"Do not use this option if the patient is pregnant. Please select ""Urine for Antenatal screening"" from the drop down list, instead.",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0188,,Coag - Please indicate from the following list the reason for this request,Reason for coag screen:,List,,,,,,,,,,,,,,,,,,,,,,,
Q0189,,Please enter the sample time (in hours) since suspected overdose (this must be AT LEAST 4 hours) - type 'unknown' if not known.,Hrs post OD (At least 4),Text,,,,,,,,,,,,,,,,,,,,,,,
Q0190,,"Please send salivary kit, available from HPA at Stonefields House, St Georges Hospital, Stafford, ST16 3SR. Tel No. 0844 225 3560, option 1, then option 2",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0191,,Carbimazole Dosage Regimen,,List,,,,,,,,,,,,,,,,,,,,,,,
Q0192,,"Unless paediatric, you cannot request this without speaking with a Haematology Consultant. Has this been done?",Spoken to Haematologist?,Yes/No,,,,,,,,,,,,,,,,,,,,,,,
Q0193,,Please contact the Biochemistry Laboratory if taking blood gases out of hours - preferably by paging the medical scientist on call.,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0194,,"Serum ACE assay costs 17pounds. Levels are  reduced by ACE inhibitors, propanolol, prednisolone. Please do NOT request if on any if these drugs",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0195,,Progesterone measurement is only indicated for fertility assessment (NOT menopausal status). It should be taken 7 days before the start of the period.,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0196,,Day of cycle,,Text,,,,,,,,,,,,,,,,,,,,,,,
Q0197,,"FSH/LH/Testosterone for ?PCOS should be taken on day 3-5, ie. separate form and specimen required.",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0198,,"Please state if Typhoid, Paratyphoid or E.coli 0157 is suspected in clinical details, and mark as ''Risk of Infection''.",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0199,,"Please state (in clinical details) if Typhoid, Paratyphoid, Brucella or Meningococcus is suspected, and mark as ''Risk of Infection''.",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0200,,Blood Bank will thaw up to 3 bags of FFP at a time - give these before requesting more,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0201,, You are making a request for OCTAPLAS - Solvent Detergent Treated Plasma - PLEASE BE SURE THIS IS WHAT YOU WANT,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0202,, You are making a request for OCTAPLEX - Prothrombin Complex Concentrate - PLEASE BE SURE THIS IS WHAT YOU WANT,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0203,,How many bags of FFP are required?, Number of FFPs required,Numeric,,,,,,,,,,,,,,,,,,,,,,,
Q0204,,How many bags of Solvent/Detergent treated FFP are required?,No. of OCTAPLAS FFP req.,Numeric,,,,,,,,,,,,,,,,,,,,,,,
Q0205,,How many IUs of OCTAPLEX do you require? (500 iu per bottle), Number required,List,,,,,,,,,,,,,,,,,,,,,,,
Q0206,,How many bags of Cryoprecipitate are required?, Number of Cryos required,Numeric,,,,,,,,,,,,,,,,,,,,,,,
Q0207,,Between 07:00 and 22:00 you MUST seek guidance from a Haematology Consultant before ordering this item. Has this been done?,Haem Consultant contacted?,Yes/No,,,,,,,,,,,,,,,,,,,,,,,
Q0208,,Please give us the name of the Haematology Consultant you have spoken with.,Consultant contacted:,Text,,,,,,,,,,,,,,,,,,,,,,,
Q0209,,PLTS - please indicate from the following list of  National Indication codes the reason for requesting Platelets,National indication code,List,,,,,,,,,,,,,,,,,,,,,,,
Q0210,,FFP - Please indicate from the following list of  National Indication Codes the reason for requesting Fresh Frozen Plasma,National indication code,List,,,,,,,,,,,,,,,,,,,,,,,
Q0211,,Cryo - Please indicate from the following list of National Indication codes the reason for requesting Cryoprecipitate,National indication code,List,,,,,,,,,,,,,,,,,,,,,,,
Q0212,,RBCs - Please indicate from the following list of National Indication Codes the reason for requesting Red Cells.,National indication code,List,,,,,,,,,,,,,,,,,,,,,,,
Q0213,,R2 - to correct Hb below 70g/L,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0214,,R3 -  to correct Hb below 80g/L in patients with co-morbidities,,Info,,,,,,,,,,,,,,,,,,,,,,,
