M_ID,M_RAD,Medication Description,Recent Code,Current Code,Code Intended,GP Ranking,IR Ranking,,,,,,,,,,,,,,,,,,,,
M0055,,Metronidazole,R-MTZ,C-MTZ,I-MTZ,9,6,,,,,,,,,,,,,,,,,,,,
M0056,,Miconazole,R-MIC,C-MIC,I-MIC,255,255,,,,,,,,,,,,,,,,,,,,
M0057,,Minocycline,R-MIN,C-MIN,I-MIN,255,255,,,,,,,,,,,,,,,,,,,,
M0058,,Moxifloxacin,R-MXF,C-MXF,I-MXF,255,255,,,,,,,,,,,,,,,,,,,,
M0059,,Mupirocin,R-MUP,C-MUP,I-MUP,255,255,,,,,,,,,,,,,,,,,,,,
M0060,,Nalidixic acid,R-NAL,C-NAL,I-NAL,255,255,,,,,,,,,,,,,,,,,,,,
M0061,,Neomycin,R-NEO,C-NEO,I-NEO,255,255,,,,,,,,,,,,,,,,,,,,
M0062,,Netilmycin,R-NET,C-NET,I-NET,255,255,,,,,,,,,,,,,,,,,,,,
M0063,,Nitrofurantoin,R-NIT,C-NIT,I-NIT,7,255,,,,,,,,,,,,,,,,,,,,
M0064,,None,R-NON,C-NON,I-NON,10,10,,,,,,,,,,,,,,,,,,,,
M0065,,Norfloxacin,R-NOR,C-NOR,I-NOR,255,255,,,,,,,,,,,,,,,,,,,,
M0066,,Nystatin,R-NYS,C-NYS,I-NYS,255,255,,,,,,,,,,,,,,,,,,,,
M0067,,Ofloxacin,R-OFL,C-OFL,I-OFL,255,255,,,,,,,,,,,,,,,,,,,,
M0068,,Oxytetracycline,R-OXY,C-OXY,I-OXY,255,255,,,,,,,,,,,,,,,,,,,,
M0069,,Penciclovir,R-PVR,C-PVR,I-PVR,255,255,,,,,,,,,,,,,,,,,,,,
M0070,,Penicillin V,R-PEN,C-PEN,I-PEN,255,255,,,,,,,,,,,,,,,,,,,,
M0071,,Pip/Tazobactam,R-PTB,C-PTB,I-PTB,255,255,,,,,,,,,,,,,,,,,,,,
M0072,,Piperacillin,R-PIP,C-PIP,I-PIP,255,255,,,,,,,,,,,,,,,,,,,,
M0073,,Polymixin B,R-POL,C-POL,I-POL,255,255,,,,,,,,,,,,,,,,,,,,
M0074,,Pyrazinamide,R-PYR,C-PYR,I-PYR,255,255,,,,,,,,,,,,,,,,,,,,
M0075,,Quinu/Dalfoprist,R-QUI,C-QUI,I-QUI,255,255,,,,,,,,,,,,,,,,,,,,
M0076,,Ribavirin,R-RIB,C-RIB,I-RIB,255,255,,,,,,,,,,,,,,,,,,,,
M0077,,Rifampicin,R-RIF,C-RIF,I-RIF,255,255,,,,,,,,,,,,,,,,,,,,
M0078,,Silversulfadiaz,R-SSU,C-SSU,I-SSU,255,255,,,,,,,,,,,,,,,,,,,,
M0079,,Teicoplanin,R-TEI,C-TEI,I-TEI,255,255,,,,,,,,,,,,,,,,,,,,
M0080,,Telithromycin,R-TEL,C-TEL,I-TEL,255,255,,,,,,,,,,,,,,,,,,,,
M0081,,Terbinafine,R-TER,C-TER,I-TER,255,255,,,,,,,,,,,,,,,,,,,,
M0082,,Tetracycline,R-TET,C-TET,I-TET,255,255,,,,,,,,,,,,,,,,,,,,
M0083,,Timadazole,R-TIM,C-TIM,I-TIM,255,255,,,,,,,,,,,,,,,,,,,,
M0084,,Tindazole,R-TIN,C-TIN,I-TIN,255,255,,,,,,,,,,,,,,,,,,,,
M0085,,Tobramycin,R-TOB,C-TOB,I-TOB,255,255,,,,,,,,,,,,,,,,,,,,
M0086,,Trimethoprim,R-TRI,C-TRI,I-TRI,5,2,,,,,,,,,,,,,,,,,,,,
M0087,,Valaciclovir,R-VAL,C-VAL,I-VAL,255,255,,,,,,,,,,,,,,,,,,,,
M0088,,Vancomycin,R-VAN,C-VAN,I-VAN,255,8,,,,,,,,,,,,,,,,,,,,
M0089,,Voriconazole,R-VOR,C-VOR,I-VOR,255,255,,,,,,,,,,,,,,,,,,,,
M0090,,Zidovodine,R-AZT,C-AZT,I-AZT,255,255,,,,,,,,,,,,,,,,,,,,
M0091,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0092,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0093,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0094,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0095,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0096,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0097,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0098,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0099,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0100,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0101,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0102,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0103,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0104,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0105,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0106,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0107,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0108,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0109,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0110,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0111,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0112,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0113,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0114,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0115,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0116,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0117,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0118,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0119,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0120,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0121,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0122,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0123,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0124,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0125,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0126,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0127,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0128,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0129,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0130,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0131,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0132,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0133,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0134,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0135,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0136,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0137,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0138,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0139,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0140,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0141,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0142,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0143,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0144,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0145,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0146,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0147,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0148,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0149,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0150,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0151,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0152,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0153,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0154,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0155,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0156,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0157,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0158,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0159,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0160,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0161,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0162,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0163,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0164,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0165,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0166,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0167,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0168,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0169,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0170,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0171,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0172,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0173,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0174,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0175,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0176,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0177,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0178,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0179,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0180,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0181,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0182,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0183,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0184,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0185,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0186,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0187,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0188,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0189,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0190,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0191,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0192,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0193,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0194,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0195,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0196,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0197,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0198,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0199,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0200,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0201,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0202,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0203,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0204,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0205,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0206,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0207,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0208,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0209,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0210,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0211,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0212,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0213,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0214,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0215,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0216,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0217,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0218,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0219,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0220,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0221,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0222,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0223,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0224,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0225,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0226,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0227,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0228,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0229,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0230,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0231,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0232,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0233,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0234,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0235,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0236,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0237,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0238,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0239,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0240,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0241,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0242,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0243,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0244,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0245,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0246,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0247,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0248,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0249,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0250,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0251,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0252,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0253,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0254,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0255,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0256,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0257,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0258,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0259,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0260,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0261,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0262,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0263,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0264,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0265,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0266,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0267,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0268,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0269,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0270,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0271,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0272,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0273,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0274,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0275,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0276,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0277,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0278,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0279,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0280,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0281,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0282,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0283,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0284,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0285,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0286,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0287,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0288,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0289,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0290,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0291,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0292,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0293,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0294,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0295,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0296,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0297,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0298,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0299,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0300,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0301,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0302,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0303,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0304,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0305,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0306,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0307,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0308,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0309,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0310,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0311,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0312,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0313,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0314,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0315,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0316,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0317,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0318,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0319,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0320,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0321,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0322,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0323,,,,,,,,,,,,,,,,,,,,,,,,,,,
